name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
# Player mods
Liminal Template I,liminal_instructions_1,3,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage","Special, Requires Dock",,FALSE,,,8,16,24,40,liminal.hullmods.InstructionsHullmod1,"The template establishes a tenuous connection to the Liminality, its Linkage shimmering against the metal as the Instructions change reality.",Basic Liminal instruction template.,,graphics/liminal/hullmods/liminal_instructions_1.png
Liminal Template II,liminal_instructions_2,3,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage","Special, Requires Dock",,FALSE,,,15,30,45,75,liminal.hullmods.InstructionsHullmod2,"The template creates a resonant connection to the Liminality. The Linkage glows as the effects of its Instructions flow freely.",Advanced Liminal instruction template.,,graphics/liminal/hullmods/liminal_instructions_2.png
Liminal Template III,liminal_instructions_3,3,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage","Special, Requires Dock",,FALSE,,,20,40,60,100,liminal.hullmods.InstructionsHullmod3,"The template creates a harmonious bond with the Liminality, Linkage pulsing with the power of complex Instructions.",Superior Liminal instruction template.,,graphics/liminal/hullmods/liminal_instructions_3.png
Liminal Template IV,liminal_instructions_4,3,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage","Special, Requires Dock",,FALSE,,,25,50,75,125,liminal.hullmods.InstructionsHullmod4,"The template achieves perfect synchronization with the Liminality, the boundary between possible and impossible are fluid to you.",Elite Liminal instruction template.,,graphics/liminal/hullmods/liminal_instructions_4.png
,,,,,,,,,,,,,,,,,,,
# NPC mods
Liminal Connection 25%,liminal_connection_25,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod25,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis1.png
Liminal Connection 50%,liminal_connection_50,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod50,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis1.png
Liminal Connection 75%,liminal_connection_75,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod75,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis2.png
Liminal Connection 100%,liminal_connection_100,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod100,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis2.png
Liminal Connection 125%,liminal_connection_125,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod125,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis3.png
Liminal Connection 150%,liminal_connection_150,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod150,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis3.png
Liminal Connection 175%,liminal_connection_175,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod175,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis4.png
Liminal Connection 200%,liminal_connection_200,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod200,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis5.png
Liminal Connection 225%,liminal_connection_225,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod225,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Connection 250%,liminal_connection_250,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod250,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Connection 275%,liminal_connection_275,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod275,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Connection 300%,liminal_connection_300,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod300,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Boss Module Hullmod,liminal_boss_module_hullmod,10,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,TRUE,0,0,0,0,liminal.hullmods.LiminalBossModuleHullmod,Gives Liminal faction buffs.,,,graphics/liminal/icons/intel_crisis.png
Polymorphic,liminal_polymorphic,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.Polymorphic,The ship shifts and changes before your very eyes.,,,graphics/liminal/icons/intel_crisis.png
,,,,,,,,,,,,,,,,,,,
# Deprecated, only kept for backwards compatability
Deprecated,liminal_faction_hullmod,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,TRUE,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod25,Deprecated,,,graphics/liminal/hullmods/liminal_instructions_4.png
Deprecated,liminal_boss_hullmod,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,TRUE,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod25,Deprecated,,,graphics/liminal/hullmods/liminal_instructions_4.png